feature,mean_shap
ecg_amp_slope,0.08347948263906749
ecg_rr_std_ms,0.08013266249099149
ecg_amp_min,0.03862870703698861
ecg_amp_mean,0.03706385132531169
ecg_amp_std,0.03245875626198797
hr_std,0.02614138337349562
pna_days,0.02595183323908331
hr_hrv,0.024590548440915763
spo2_std,0.014770934534549123
spo2_mean,0.013099145467039882
rr_std,0.012016201426321562
spo2_last,0.012014858090753634
spo2_min,0.009010726563931438
rr_cv,0.00863056223887313
spo2_pct_below_90,0.007542536440497808
ecg_rmssd_ms,0.005972422407197859
spo2_slope,0.005247493294870902
hr_mean,0.004475184243734211
hr_last,0.004239583700631696
hr_slope,0.004196295593092281
rr_min,0.003869010648375522
ecg_rr_mean_ms,0.003800066888395627
pma_weeks,0.0028051681097973668
rr_slope,0.0026890579391558897
spo2_min_diff,0.0021281743312057525
hr_max,0.0018006517137530448
rr_max,0.0015230741216936653
rr_mean,0.0014089748770299516
spo2_max,0.001402167139026976
ecg_pnn50,0.0013668799365565503
hr_rr_ratio,0.0013168164425732313
rr_pct_below_30,0.0009233735400767932
hr_min,0.0008983963205249813
rr_last,0.0007708768433716109
ga_weeks,0.0006327599243446627
rr_pct_below_10,0.00016640645067545124
