feature,mean_shap
spo2_min_diff,1.0044518909109104
rr_pct_below_30,0.2147244388446004
rr_std,0.1417578689877048
spo2_max,0.11697976216325276
rr_mean,0.06773967964586802
ecg_amp_min,0.06745278339515462
rr_pct_below_10,0.06138771354147349
rr_min,0.05065344056455226
rr_cv,0.045729276903976115
spo2_mean,0.043904208851770675
ga_weeks,0.03982155861488154
rr_max,0.03718233584400203
pma_weeks,0.03385151016708376
spo2_slope,0.030078805932661216
spo2_pct_below_90,0.029907775230868017
spo2_std,0.028881052517799977
spo2_min,0.02285717492231906
ecg_amp_mean,0.016176089151054087
rr_slope,0.010038316069144973
pna_days,0.008910951829029472
hr_rr_ratio,0.007627426836926148
ecg_pnn50,0.006319887816774873
hr_mean,0.005990889041036338
ecg_amp_slope,0.001767384064396066
ecg_amp_std,0.0013103005365553407
ecg_rr_mean_ms,0.0010188301189484011
ecg_rmssd_ms,0.0007499152964759119
ecg_rr_std_ms,0.0006196583793090657
hr_max,0.0004089098032812537
hr_min,0.00034882982448657796
hr_hrv,0.00033494851633910527
hr_std,0.00014003812599974627
rr_last,0.0
hr_slope,0.0
hr_last,0.0
spo2_last,0.0
