feature,mean_shap
pma_weeks,0.09790403875163946
ga_weeks,0.06942121089653315
hr_max,0.0673626478030497
rr_std,0.04693406899604073
rr_max,0.04589136481012518
spo2_min_diff,0.024377844261863194
ecg_amp_mean,0.022252621160555312
rr_cv,0.021878544620715625
ecg_amp_min,0.015344037799138047
spo2_std,0.01520289660392913
pna_days,0.01500268687042553
spo2_max,0.01366163371931209
hr_std,0.013054015400931693
hr_hrv,0.01194205605899767
spo2_min,0.010588402644634136
rr_min,0.009745914600213318
ecg_rmssd_ms,0.007987896797258637
hr_min,0.007922828399364977
rr_pct_below_30,0.007897665960834662
spo2_mean,0.007613627751389883
ecg_rr_std_ms,0.007551633326155169
spo2_pct_below_90,0.006853922564680014
ecg_pnn50,0.006848082445073626
ecg_rr_mean_ms,0.006385170734551072
ecg_amp_std,0.0049393209736076065
hr_mean,0.004696892226938451
rr_pct_below_10,0.002174353294812738
hr_rr_ratio,0.0014162745365034406
spo2_slope,0.001299185298788796
rr_mean,0.0009750253139871103
spo2_last,0.0009518202809874733
hr_slope,0.0007215877123030212
rr_slope,0.0006510854916210555
rr_last,0.000504032562427271
ecg_amp_slope,0.00045785905794253225
hr_last,0.0003649130542267856
