feature,mean_shap
spo2_min_diff,0.0964777797933847
spo2_pct_below_90,0.06640075603887942
rr_std,0.0662456244530931
spo2_min,0.05966673482688497
spo2_std,0.04491728630967293
spo2_mean,0.03498796281190515
rr_cv,0.029387496360361188
rr_pct_below_30,0.026619006284299588
rr_mean,0.020576556552528064
rr_min,0.01815648005445866
ecg_amp_min,0.017803029902747965
spo2_slope,0.016191306871015148
ga_weeks,0.015381485486178
ecg_amp_mean,0.011005982496782505
pma_weeks,0.008282016124456023
hr_std,0.007222460558645845
spo2_max,0.007153511699062865
rr_pct_below_10,0.005878398631146226
ecg_rr_mean_ms,0.005480228597916571
hr_rr_ratio,0.005284921561670475
rr_slope,0.004895419585261963
spo2_last,0.004695847299953004
ecg_amp_std,0.004402355556799947
ecg_rr_std_ms,0.004245180118900159
rr_max,0.0037370435114767275
hr_max,0.003603663092246839
hr_min,0.0019402771413424707
hr_hrv,0.0016104724829530469
ecg_pnn50,0.0015544409795335218
rr_last,0.0011133754113274864
hr_mean,0.001054254847862353
pna_days,0.0008532066041452238
ecg_rmssd_ms,0.0006143277449853588
ecg_amp_slope,0.00036519350836245905
hr_slope,0.0003300068057351944
hr_last,5.036782984570979e-05
